model,run,seed,epochs_trained,best_epoch,best_f1_score,best_train_loss,best_val_loss,final_f1_score,final_train_loss,final_val_loss,total_training_time_seconds,total_training_time_formatted
answerdotai__ModernBERT-large,1,41,10,8,0.709002198949387,0.0032864971093828,0.6436528339982033,0.7065766973865194,0.0013281847282616,0.6435051908095678,359.40662026405334,0:05:59
answerdotai__ModernBERT-large,2,42,10,7,0.7005257989778604,0.0053493882767006,0.6602252684533596,0.6945575750719456,0.0010193247697654,0.676697044322888,363.77713990211487,0:06:04
answerdotai__ModernBERT-large,3,43,10,10,0.7050474402938238,0.0013974864180687,0.6613229410722852,0.7050474402938238,0.0013974864180687,0.6613229410722852,364.907749414444,0:06:05
answerdotai__ModernBERT-large,4,44,10,9,0.7195177741629675,0.0019933265724576,0.5989548427363237,0.7190735506914455,0.0011263042437941,0.6000767114261786,365.82531785964966,0:06:06
answerdotai__ModernBERT-large,5,45,10,8,0.6952543633299197,0.0021753563795395,0.6579305479923884,0.6942272451131394,0.0008188040008589,0.6662630240122477,361.6221401691437,0:06:02
answerdotai__ModernBERT-large,6,46,10,8,0.7242460967808985,0.0022531658743351,0.626824326813221,0.723659126449823,0.0009936776933013,0.6314959786832333,362.87227272987366,0:06:03
answerdotai__ModernBERT-large,7,47,10,9,0.7272629184302204,0.0017011154857247,0.5867162824918827,0.7261549446147991,0.0010706943618526,0.588439737757047,356.3387231826782,0:05:56
answerdotai__ModernBERT-large,8,48,10,8,0.7049875006616496,0.0020907746139253,0.7023857703122,0.7040240422316019,0.0008376823877983,0.7049327508235971,356.8498959541321,0:05:57
answerdotai__ModernBERT-large,9,49,10,7,0.7033655528312509,0.0091807604229299,0.6209465625385443,0.700807788195619,0.0017832587767516,0.6392251029610634,355.6052098274231,0:05:56
answerdotai__ModernBERT-large,10,50,10,7,0.7148774217509877,0.0075992027332811,0.639002226293087,0.7119024464738593,0.0011498854860398,0.6712940993408362,358.794673204422,0:05:59
answerdotai__ModernBERT-large,11,51,10,8,0.707613604070615,0.0039691495242783,0.5798628733803829,0.7002131309250935,0.001474272078519,0.5882181096822023,368.2217631340027,0:06:08
answerdotai__ModernBERT-large,12,52,10,10,0.6972628496245518,0.0011943677199333,0.6734934461613497,0.6972628496245518,0.0011943677199333,0.6734934461613497,364.6225061416626,0:06:05
answerdotai__ModernBERT-large,13,53,10,7,0.7297070456198912,0.0081332134371244,0.5915929215649763,0.727616058849295,0.0018532383648223,0.6067279490331808,356.8988943099976,0:05:57
answerdotai__ModernBERT-large,14,54,10,7,0.6809607811530666,0.0071094999540608,0.7193056220809618,0.6803164348574644,0.0011737202801795,0.734919132043918,354.98775005340576,0:05:55
answerdotai__ModernBERT-large,15,55,10,6,0.694753594003956,0.0129253225357726,0.6316745995233456,0.6883676813105932,0.0011202411602256,0.6616650695602099,354.49887895584106,0:05:54
answerdotai__ModernBERT-large,16,56,10,6,0.6664971794050545,0.013807249675115,0.6770758132139841,0.6621038848821938,0.0010195026352871,0.7226240063707033,352.2454252243042,0:05:52
answerdotai__ModernBERT-large,17,57,10,8,0.6628687505081389,0.0031672641807533,0.7133732289075851,0.6573014987679334,0.0011275968393229,0.7244492756823698,360.77800846099854,0:06:01
answerdotai__ModernBERT-large,18,58,10,6,0.7239068467147982,0.0166199210080924,0.6191026009619236,0.7223469332441771,0.0011485516375233,0.6411809387306372,353.30024337768555,0:05:53
answerdotai__ModernBERT-large,19,59,10,6,0.6832256676027414,0.0155020848005945,0.6434883226950964,0.6814289022895613,0.0008833666241031,0.6616132160027822,354.23534989356995,0:05:54
answerdotai__ModernBERT-large,20,60,10,10,0.7295876046506804,0.0010186314618696,0.6086078137159348,0.7295876046506804,0.0010186314618696,0.6086078137159348,360.7040982246399,0:06:01
answerdotai__ModernBERT-large,21,61,10,8,0.6959088619097774,0.0049726576304068,0.7523025137682756,0.6956414914535716,0.0012929898561154,0.7597454165418943,356.93174147605896,0:05:57
answerdotai__ModernBERT-large,22,62,10,7,0.7019744462355124,0.0073473226065141,0.6460315311948458,0.700755705320928,0.0010591622467049,0.6478231058766445,361.0803816318512,0:06:01
answerdotai__ModernBERT-large,23,63,10,7,0.7123331269147584,0.0064161049153352,0.6443265664080778,0.7048345364279464,0.0010559708277659,0.6520037526885668,357.5006835460663,0:05:58
answerdotai__ModernBERT-large,24,64,10,10,0.703507248921187,0.0010457928146934,0.7013884695867697,0.703507248921187,0.0010457928146934,0.7013884695867697,365.0510404109955,0:06:05
answerdotai__ModernBERT-large,25,65,10,6,0.7181195463331028,0.0161770175625353,0.6347759726146857,0.7126080918047577,0.0010802995961438,0.6779222848514715,358.08962512016296,0:05:58
answerdotai__ModernBERT-large,26,66,10,10,0.6954840804498975,0.0010987360234816,0.65359960993131,0.6954840804498975,0.0010987360234816,0.65359960993131,361.9136152267456,0:06:02
answerdotai__ModernBERT-large,27,67,10,9,0.7072238864756294,0.0014908019728081,0.6560336879144112,0.7065625625089832,0.0011578135865504,0.6586096938699484,363.5763967037201,0:06:04
answerdotai__ModernBERT-large,28,68,10,8,0.7325132188060764,0.0050125443129556,0.5717912012090286,0.7310368574368085,0.0011119626145701,0.5812387267748514,353.4904713630676,0:05:53
answerdotai__ModernBERT-large,29,69,10,8,0.6960596270700539,0.0030296074055936,0.7066723754008611,0.6941671441154618,0.0012239372868058,0.7175593599677086,359.1182987689972,0:05:59
answerdotai__ModernBERT-large,30,70,10,9,0.6797039775538595,0.0030279473576229066,0.7058915980160236,0.6793434751674372,0.0026029703712570048,0.707527988900741,358.4145567417145,0:05:58
