model,run,seed,epochs_trained,best_epoch,best_f1_score,best_train_loss,best_val_loss,final_f1_score,total_training_time_seconds
roberta-base,1,41,10,8,0.7060811302822686,0.0953061072112515,0.5536198305586973,0.7000558494146528,107.38387799263
roberta-base,2,42,10,10,0.6837118847040119,0.0801205783216066,0.502243502686421,0.6837118847040119,115.8490858078003
roberta-base,3,43,10,9,0.6878223327617682,0.0880157362972927,0.531009870270888,0.6847196994050057,112.66909050941469
roberta-base,4,44,10,9,0.7116136790964576,0.0880474022394696,0.4573448163767655,0.7051255766422087,110.6729748249054
roberta-base,5,45,10,8,0.7049383929670997,0.1072094893126293,0.492550078779459,0.7031579026931676,106.27049112319946
roberta-base,6,46,10,8,0.7167941040256959,0.1062465632810842,0.5201602193216482,0.7161560688237959,117.4481246471405
roberta-base,7,47,10,6,0.7112234581871022,0.1715885320201862,0.4355762085566918,0.7005123072046052,111.47537899017334
roberta-base,8,48,10,9,0.7001550779496455,0.0950010640676631,0.5285948167244593,0.6994163176250845,104.5824065208435
roberta-base,9,49,10,9,0.6948292870683866,0.0862458525658693,0.4985503392914931,0.6928659052160379,109.43386101722716
roberta-base,10,50,10,8,0.703786214862988,0.1020301378570323,0.5156290531158447,0.6925165883804699,110.6399245262146
roberta-base,11,51,10,9,0.6912394947837256,0.089436505856209,0.5051554019252459,0.679522320796491,110.6401550769806
roberta-base,12,52,10,8,0.6960258390971589,0.1058230748789948,0.5363072672237953,0.6956278384126978,110.98360633850098
roberta-base,13,53,10,10,0.7133489100173973,0.0859499116709759,0.4873848656813304,0.7133489100173973,110.66153407096864
roberta-base,14,54,10,10,0.6615591364294094,0.0747692608599399,0.6059899472941955,0.6615591364294094,104.90310382843018
roberta-base,15,55,10,10,0.6727244543416461,0.0808732169572004,0.5451945805301269,0.6727244543416461,105.73198223114014
roberta-base,16,56,10,9,0.6774592742122159,0.0791880318591761,0.5527225608627001,0.6759291182417323,122.08436131477356
roberta-base,17,57,10,6,0.6539320361093999,0.1607853413321251,0.5321042872965336,0.6516607834121387,113.3807532787323
roberta-base,18,58,10,9,0.7254774751568024,0.0903163443124571,0.4680264977117379,0.7221112208549022,112.0372862815857
roberta-base,19,59,10,6,0.6739191737185583,0.1638668565902599,0.496660366654396,0.6737164365527819,114.46823406219482
roberta-base,20,60,10,4,0.7131745005958893,0.2878752361203349,0.4478953139235576,0.7057741755714858,108.59003901481628
roberta-base,21,61,10,9,0.6721151652881766,0.082185647991854,0.5712023116648197,0.668519046758926,106.25292110443117
roberta-base,22,62,10,7,0.6966744500647477,0.1377293338436027,0.5086187236011028,0.6916932542121492,114.8933880329132
roberta-base,23,63,10,10,0.7195338864369226,0.0764085763502259,0.5381384640932083,0.7195338864369226,110.5133183002472
roberta-base,24,64,10,10,0.687847966798713,0.0817876472679335,0.5476861645778021,0.687847966798713,108.46463346481325
roberta-base,25,65,10,8,0.6980168654239499,0.1067794395913911,0.5220248786111673,0.6843420589311332,112.75819039344788
roberta-base,26,66,10,9,0.6648722777938862,0.0861517616525985,0.5598223619163036,0.6621623059222163,107.03222918510436
roberta-base,27,67,10,8,0.692393616343927,0.1081217049599387,0.5073198390503725,0.6913327711678977,108.99589729309082
roberta-base,28,68,10,10,0.7262402031095117,0.082168471956149,0.4741178921734293,0.7262402031095117,106.06921982765198
roberta-base,29,69,10,10,0.678045489812998,0.0775634724386902,0.6091235826412836,0.678045489812998,112.2866051197052
roberta-base,30,70,10,9,0.6758330529106431,0.08491616897544889,0.5411069753269354,0.672199588289559,110.90855669975281
